Year of last filed report / Année de déclaration la plus récente,NPRI ID / ID INRP,Company Name / Raison Sociale,Facility Name / Nom de l'installation,Address line 1 / Première ligne d’adresse,Address line 2 / Deuxième ligne d’adresse,City / Ville,Province / Province,Postal Code / Code postal,Physical Land Survey Description / Description de l'arpentage,National Topographical Description / Description topographique nationale,Latitude / Latitude,Longitude / Longitude,Datum / Datum,NAICS / Code SCIAN,Key Industrial Sector Code / Code des Secteurs industriels clés,Key Industrial Sector (English) / Secteurs industriels clés (Anglais),Key Industrial Sector (French) / Secteurs industriels clés (Français),Census Division (CD) Unique ID / No unique de la Division de recensement (DR),Census Division (CD) Name / Nom de la Division de recensement (DR),Census Sub Division (CSD) Unique ID / No unique de la Subdivision de recensement (SDR),Census Sub Division (CSD) Name / Nom de la Subdivision de recensement (SDR),Census Metropolitan Area (CMA) Unique ID / No unique de la Région métropolitaine de recensement (RMR),Census Metropolitan Area (CMA) Name / Nom de la Région métropolitaine de recensement (RMR),Economic Region (ER) Unique ID / No unique de la Région économique (RE),Economic Region (ER) Name / Nom de la Région économique (RE),Forward Sortation Area (FSA) / Région de tri d'acheminement (RTA),Ecozone Unique ID / No unique de l’écozone,English Ecozone Name / Nom anglais de l’écozone,French Ecozone Name / Nom français de l’écozone,Unique ID of the Major Drainage Area from the Water Survey of Canada (WSC) / No unique de l’aire de drainage principale des Relevés hydrologiques du Canada (RHC),Major Drainage Area English Name / Nom anglais de l’aire de drainage principale ,Major Drainage Area French Name / Nom français de l’aire de drainage principale ,Sulphur Oxide Management Area (SOMA) / Zone de gestion des oxydes de soufre (ZGOS),Ontario Pollution Emission Management Area (PEMA) / Zone de gestion des émission de polluants (ZGEP) de l'Ontario,Quebec Pollution Emission Management Area (PEMA) / Zone de gestion des émission de polluants (ZGEP) du Québec,Quebec City-Windsor Corridor / Corridor Québec-Windsor
2016,109,Alumabrite Anodizing,ALUMABRITE ANODIZING,20 Milburn Road,,Hamilton,ON,L8E3L9,,,43.23,-79.74,1983,331317,1,Aluminum,Aluminium,3525,Hamilton,3525005,Hamilton,537,Hamilton,3550,Hamilton--Niagara Peninsula,L8E,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,111,Apotex Inc.,Apotex Inc. 150 Signet Drive,150 Signet Drive,,Toronto,ON,M9L1T9,,,43.76,-79.54,1983,325410,3,Chemicals,Produits chimiques,3520,Toronto,3520005,Toronto,535,Toronto,3530,Toronto,M9L,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2009,117,ARVINMERITOR - RIDE CONTROL,ARVINMERITOR - RIDE CONTROL,3560-3600 Lakeshore Boulevard West,,Toronto,ON,M8W1N8,,,43.59,-79.53,1983,336330,15,Transportation Equipment Mfg.,Fabrication de matériel de transport,3520,Toronto,3520005,Toronto,535,Toronto,3530,Toronto,M8W,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2011,120,ASHLAND CANADA CORP.,ASHLAND CANADA - MISSISSAUGA,2620 Royal Windsor Drive,,Mississauga,ON,L5J4E7,,,43.49,-79.64,1983,325210,3,Chemicals,Produits chimiques,3521,Peel,3521005,Mississauga,535,Toronto,3530,Toronto,L5J,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,123,Associated Tube Industries,A.T.I,7455 Woodbine Avenue,,Markham,ON,L3R1A7,,,43.82,-79.35,1983,331210,5,Iron and Steel,Fer et acier,3519,York,3519036,Markham,535,Toronto,3530,Toronto,L3R,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,125,Atlantic Packaging Products Ltd.,Whitby,1900 Thickson Road,,Whitby,ON,L1N9E1,,,43.86,-78.9,1983,322121,14,Pulp and Paper,Pâte à papier et papier,3518,Durham,3518009,Whitby,532,Oshawa,3530,Toronto,L1N,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2014,135,Hood Packaging Corporation,Burlington Plastics Division,2360 McDowell Road,,Burlington,ON,L7R4A1,,,43.34,-79.8,1983,326198,13,Plastics and Rubber,Plastiques et caoutchouc,3524,Halton,3524002,Burlington,537,Hamilton,3550,Hamilton--Niagara Peninsula,L7R,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2010,136,BORGWARNER CANADA INC.,N/A,385 Second Avenue,,Simcoe,ON,N3Y4L5,,,42.84,-80.31,1983,336350,15,Transportation Equipment Mfg.,Fabrication de matériel de transport,3528,Haldimand-Norfolk,3528052,Norfolk County,547,Norfolk,3550,Hamilton--Niagara Peninsula,N3Y,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2015,139,The Butcher Engineering Enterprises Ltd.,Butcher Industrial Finishings Inc.(Orenda),120 Orenda Road,,Brampton,ON,L6W1W2,,,43.69,-79.73,1983,332810,6,Other Manufacturing,Autres fabrication,3521,Peel,3521010,Brampton,535,Toronto,3530,Toronto,L6W,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,151,Inossman North American Corp.,CANADA ALLOY CASTINGS,529 Manitou Drive,,Kitchener,ON,N2C1S2,,,43.4,-80.44,1983,331514,5,Iron and Steel,Fer et acier,3530,Waterloo,3530013,Kitchener,541,Kitchener - Cambridge - Waterloo,3540,Kitchener--Waterloo--Barrie,N2R,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,161,Bunge Canada Holdings I ULC,Bunge Canada - Hamilton Plant,0 - 515 Victoria Avenue North,,Hamilton,ON,L8G3G7,,,43.26,-79.85,1983,311224,6,Other Manufacturing,Autres fabrication,3525,Hamilton,3525005,Hamilton,537,Hamilton,3550,Hamilton--Niagara Peninsula,L8L,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,174,GreenMantra Technologies,GreenMantra Technologies,81 Elgin Street,,Brantford,ON,N3S5A1,,,43.14,-80.25,1983,325999,3,Chemicals,Produits chimiques,3529,Brant,3529006,Brantford,543,Brantford,3550,Hamilton--Niagara Peninsula,N3R,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,177,Coveright Surfaces Canada Inc.,COVERIGHT SURFACES CANADA,56 Willmott Street,,Cobourg,ON,K9A4R5,,,43.95,-78.11,1983,322220,14,Pulp and Paper,Pâte à papier et papier,3514,Northumberland,3514019,Hamilton,,,3520,Muskoka--Kawarthas,K9A,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,179,KIK Holdco Company Inc.,Plant #1,13 Bethridge Road,,Etobicoke,ON,M9W1M6,,,43.7,-79.56,1983,325610,3,Chemicals,Produits chimiques,3520,Toronto,3520005,Toronto,535,Toronto,3530,Toronto,M9W,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,181,KIK Holdco Company Inc.,Plant #2,2000 Kipling Avenue,,Etobicoke,ON,M9W4J6,,,43.71,-79.56,1983,325610,3,Chemicals,Produits chimiques,3520,Toronto,3520005,Toronto,535,Toronto,3530,Toronto,M9W,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,191,Centerline (Windsor) Ltd.,Electrodes Division,595 Morton Drive,,Windsor,ON,N9J3T8,,,42.25,-83.09,1983,333511,6,Other Manufacturing,Autres fabrication,3537,Essex,3537039,Windsor,559,Windsor,3570,Windsor--Sarnia,N9C,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,199,FCA Canada Inc.,Etobicoke Casting Plant,15 Brown's Line,,Toronto,ON,M8W3S3,,,43.59,-79.54,1983,331523,7,Metals (Except Aluminum and Iron and Steel),Métaux (sauf aluminium et fer et acier),3520,Toronto,3520005,Toronto,535,Toronto,3530,Toronto,M8W,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,201,City of Peterborough,PTBO WASTE WATER TREATMENT PLANT,425 Kennedy Road,,Peterborough,ON,K9J1B6,,,44.27,-78.31,1983,221320,18,Water and Wastewater Systems,Systèmes d'eau et des eaux usées,3515,Peterborough,3515014,Peterborough,529,Peterborough,3520,Muskoka--Kawarthas,K9J,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,203,City of Thunder Bay,Bare Point Water Treatment Plant,171 Bare Point Road,,Thunder Bay,ON,P7B5E4,,,48.47,-89.15,1983,221310,18,Water and Wastewater Systems,Systèmes d'eau et des eaux usées,3558,Thunder Bay,3558004,Thunder Bay,595,Thunder Bay,3595,Northwest / Nord-ouest,P7A,6,Boreal Shield,Bouclier boréal,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,0,0,0,0
2016,205,City of Thunder Bay,Water Pollution Control Plant,901 Atlantic Avenue,,Thunder Bay,ON,P7C2T3,,,48.39,-89.22,1983,221320,18,Water and Wastewater Systems,Systèmes d'eau et des eaux usées,3558,Thunder Bay,3558004,Thunder Bay,595,Thunder Bay,3595,Northwest / Nord-ouest,P7C,6,Boreal Shield,Bouclier boréal,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,0,0,0,0
2016,207,Colortech Inc.,COLORTECH INC. BRAMPTON,8027 Dixie Road,,Brampton,ON,L6T3V1,,,43.69,-79.7,1983,326198,13,Plastics and Rubber,Plastiques et caoutchouc,3521,Peel,3521010,Brampton,535,Toronto,3530,Toronto,L6T,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,209,GreenField Specialty Alcohols Inc.,Tiverton,99 Farrell Drive,,Tiverton,ON,N0G2T0,,,44.31,-81.56,1983,325190,3,Chemicals,Produits chimiques,3541,Bruce,3541024,Kincardine,,,3580,Stratford--Bruce Peninsula,N0G,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,210,GreenField Specialty Alcohols Inc.,Brampton,2 Chelsea Lane,,Brampton,ON,L6T3Y4,,,43.73,-79.69,1983,418410,11,Other (Except Manufacturing),Autres (sauf fabrication),3521,Peel,3521010,Brampton,535,Toronto,3530,Toronto,L6T,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,216,Triple M Metal LP,Scarborough,80 Sinnott Road,,Toronto,ON,M1L4M7,,,43.72,-79.27,1983,418110,11,Other (Except Manufacturing),Autres (sauf fabrication),3520,Toronto,3520005,Toronto,535,Toronto,3530,Toronto,M1L,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,222,Cytec Canada Inc.,Welland Plant,9061 Garner Road,,Niagara Falls,ON,L2H0Y2,,,43.04,-79.15,1983,325999,3,Chemicals,Produits chimiques,3526,Niagara,3526043,Niagara Falls,539,St. Catharines - Niagara,3550,Hamilton--Niagara Peninsula,L2E,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,225,Dajcor Aluminum Ltd.,Dajcor Aluminum Ltd.,155 Irwin Street,,Chatham,ON,N7M0N5,,,42.39,-82.21,1983,331317,1,Aluminum,Aluminium,3536,Chatham-Kent,3536020,Chatham-Kent,556,Chatham-Kent,3570,Windsor--Sarnia,N7M,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,227,Schott Gemtron (Canada) Corporation,SCHOTT Gemtron (Canada) Corporation,125 Albert Street,,Midland,ON,L4R4L3,,,44.73,-79.85,1983,327215,2,"Cement, Lime and Other Non-Metallic Minerals","Ciment, chaux et autres produits minéraux non métalliques",3543,Simcoe,3543074,Midland,571,Midland,3540,Kitchener--Waterloo--Barrie,L4R,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2009,231,DELHI INDUSTRIES INC,JAMES ST.,523 James St,,Delhi,ON,N4B2Z3,,,42.84,-80.48,1983,,5,Iron and Steel,Fer et acier,3528,Haldimand-Norfolk,3528052,Norfolk County,547,Norfolk,3550,Hamilton--Niagara Peninsula,N4B,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,239,Cascades Canada ULC.,"Norampac Trenton, a Division of Cascades Canada ULC.",0 - 300 Marmora Street,,Trenton,ON,k8V5R8,,,44.11,-77.58,1983,322121,14,Pulp and Paper,Pâte à papier et papier,3512,Hastings,3512015,Quinte West,522,Belleville,3515,Kingston--Pembroke,K8V,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,245,Pactiv Canada Inc.,Brampton Plant,46 Hale Road,,Brampton,ON,L6W3M1,,,43.68,-79.71,1983,322212,14,Pulp and Paper,Pâte à papier et papier,3521,Peel,3521010,Brampton,535,Toronto,3530,Toronto,L6W,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2015,247,Aya Kitchens & Baths Ltd.,AyA Kitchens & Baths Manufacturing Facility,1551 Caterpillar Road,,Mississauga,ON,L4X2Z6,,,43.6,-79.57,1983,337110,6,Other Manufacturing,Autres fabrication,3521,Peel,3521005,Mississauga,535,Toronto,3530,Toronto,L4X,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2009,249,ASHLAND CANADA,DREW CANADA,525  FINLEY Avenue,,Ajax,ON,L1S2E5,,,43.83,-79.02,1983,,3,Chemicals,Produits chimiques,3518,Durham,3518005,Ajax,535,Toronto,3530,Toronto,L1S,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,255,9155678 Canada Ltd,Soltex Canada Inc,30 Dussek Street - Street,,Belleville,ON,K8N5R8,,,44.18,-77.36,1983,325190,3,Chemicals,Produits chimiques,3512,Hastings,3512005,Belleville,522,Belleville,3515,Kingston--Pembroke,K8N,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,264,Ecolab Co.,Mississauga Plant,5105 Tomken Road,,Mississauga,ON,L4W2X5,,,43.62,-79.63,1983,325610,3,Chemicals,Produits chimiques,3521,Peel,3521005,Mississauga,535,Toronto,3530,Toronto,L4W,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,276,ArcelorMittal Windsor a Division of ArcelorMittal Dofasco G.,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.,300 Sprucewood Avenue,,Windsor,ON,N9C0B7,,,42.26,-83.1,1983,332810,6,Other Manufacturing,Autres fabrication,3537,Essex,3537039,Windsor,559,Windsor,3570,Windsor--Sarnia,N9C,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2009,282,DOW CHEMICAL CANADA ULC,DOW CHEMICAL CANADA ULC - WESTON,122  ARROW Road,,Weston,ON,M9M2M2,,,43.74,-79.52,1983,326140,13,Plastics and Rubber,Plastiques et caoutchouc,3520,Toronto,3520005,Toronto,535,Toronto,3530,Toronto,M9M,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,286,Axalta Coating Systems Canada Company,Ajax Performance Coatings Division,408 Fairall Street,,Ajax,ON,L1S1R6,,,43.84,-79.03,1983,325510,3,Chemicals,Produits chimiques,3518,Durham,3518005,Ajax,535,Toronto,3530,Toronto,L1S,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,315,ESCO Limited,ESCO Limited,185 Hope Street South,,Port Hope,ON,L1A3W4,,,43.94,-78.28,1983,331514,5,Iron and Steel,Fer et acier,3514,Northumberland,3514020,Port Hope,528,Port Hope,3520,Muskoka--Kawarthas,L1A,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,319,Dyno Nobel Canada Inc.,North Bay,350 Dupont Chemin,,North Bay,ON,P1B8K2,,,46.26,-79.37,1983,325920,3,Chemicals,Produits chimiques,3548,Nipissing,3548044,North Bay,575,North Bay,3590,Northeast / Nord-est,P1B,6,Boreal Shield,Bouclier boréal,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,0
2016,327,Irving Consumer Products Limited,Irving Tissue Corporation,0 - 1551 Weston Road,,Toronto,ON,M6M4Y4,,,43.69,-79.5,1983,322121,14,Pulp and Paper,Pâte à papier et papier,3520,Toronto,3520005,Toronto,535,Toronto,3530,Toronto,M6M,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2013,341,BACARDI CANADA INC.,1000 STEELES AVE. E.,1000 Steeles Avenue East,,Brampton,ON,L6T1A1,,,43.68,-79.7,1983,312140,6,Other Manufacturing,Autres fabrication,3521,Peel,3521010,Brampton,535,Toronto,3530,Toronto,L6W,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,344,Chemtrade Logistics Inc.,Chemtrade - Thorold,1686 Beaverdams Road,,Thorold,ON,L2V3Y7,,,43.11,-79.2,1983,325999,3,Chemicals,Produits chimiques,3526,Niagara,3526037,Thorold,539,St. Catharines - Niagara,3550,Hamilton--Niagara Peninsula,L2V,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,351,Infinity Rubber Technology Group,Infinity Rubber - Welland Plant,100 Kennedy Street,,Welland,ON,L3B 0B4,,,42.99,-79.23,1983,326290,13,Plastics and Rubber,Plastiques et caoutchouc,3526,Niagara,3526032,Welland,539,St. Catharines - Niagara,3550,Hamilton--Niagara Peninsula,L3B,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,374,Halltech Inc.,HALLTECH INC.,465 Coronation Drive East,,Scarborough,ON,M1E2K2,,,43.76,-79.16,1983,325520,3,Chemicals,Produits chimiques,3520,Toronto,3520005,Toronto,535,Toronto,3530,Toronto,M1E,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2009,376,DANA CANADA INC.,LIGHT VEHICLE DRIVELINE (THOROLD MACHINING PLANT),P.O. Box 1045,,Thorold,ON,L2V3Z6,,,43.09,-79.2,1983,,15,Transportation Equipment Mfg.,Fabrication de matériel de transport,3526,Niagara,3526037,Thorold,539,St. Catharines - Niagara,3550,Hamilton--Niagara Peninsula,L2V,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,380,Filamat Composites Inc.,Rangeview Road Facility,880 Rangeview Road,,Mississauga,ON,L5E1G9,,,43.57,-79.55,1983,325220,3,Chemicals,Produits chimiques,3521,Peel,3521005,Mississauga,535,Toronto,3530,Toronto,L5E,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,383,Helmitin Inc.,Toronto Plant,99 Shorncliffe Road,,Toronto,ON,M8Z5K7,,,43.62,-79.54,1983,325510,3,Chemicals,Produits chimiques,3520,Toronto,3520005,Toronto,535,Toronto,3530,Toronto,M8Z,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2012,384,EMERY OLEOCHEMICALS CANADA LTD.,TORONTO PLANT,425 Kipling Avenue,,Toronto,ON,M8Z5C8,,,43.6,-79.52,1983,325999,3,Chemicals,Produits chimiques,3520,Toronto,3520005,Toronto,535,Toronto,3530,Toronto,M8Z,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,393,Home Hardware Stores Ltd.,Paint & Home Products Division,6 Brian Drive,,Burford,ON,N0E1A0,,,43.09,-80.43,1983,325510,3,Chemicals,Produits chimiques,3529,Brant,3529005,Brant,543,Brantford,3550,Hamilton--Niagara Peninsula,N0E,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
